experiment_id,episode,avg_eval_score,target_score,learning_rate,batch_size,gamma,first_hid,second_hid,epsilon_decay
run_1,5,-633.6732085417723,250,0.0005,256,0.99,100,100,0.995
run_1,10,-270.76594969981744,250,0.0005,256,0.99,100,100,0.995
run_1,15,-434.0136508709171,250,0.0005,256,0.99,100,100,0.995
run_1,20,-419.33231081037104,250,0.0005,256,0.99,100,100,0.995
run_1,25,-361.6386928258504,250,0.0005,256,0.99,100,100,0.995
run_1,30,-260.8935768826109,250,0.0005,256,0.99,100,100,0.995
run_1,35,-145.1391160645225,250,0.0005,256,0.99,100,100,0.995
run_1,40,-150.9067706023235,250,0.0005,256,0.99,100,100,0.995
run_1,45,-131.70967388066396,250,0.0005,256,0.99,100,100,0.995
run_1,50,-115.46352115781296,250,0.0005,256,0.99,100,100,0.995
run_1,55,-135.54102437457772,250,0.0005,256,0.99,100,100,0.995
run_1,60,-142.20428946880165,250,0.0005,256,0.99,100,100,0.995
run_1,65,-103.10691628096413,250,0.0005,256,0.99,100,100,0.995
run_1,70,-100.5010047425188,250,0.0005,256,0.99,100,100,0.995
run_1,75,-122.06073544197265,250,0.0005,256,0.99,100,100,0.995
run_1,80,-86.17943143870842,250,0.0005,256,0.99,100,100,0.995
run_1,85,-111.80332809977881,250,0.0005,256,0.99,100,100,0.995
run_1,90,-116.53718590388128,250,0.0005,256,0.99,100,100,0.995
run_1,95,-101.91443514484422,250,0.0005,256,0.99,100,100,0.995
run_1,100,-84.93642670858854,250,0.0005,256,0.99,100,100,0.995
run_1,105,-86.51808760449809,250,0.0005,256,0.99,100,100,0.995
run_1,110,-90.84541813166172,250,0.0005,256,0.99,100,100,0.995
run_1,115,-112.94933996303864,250,0.0005,256,0.99,100,100,0.995
run_1,120,-84.77620974085978,250,0.0005,256,0.99,100,100,0.995
run_1,125,-107.21535063357064,250,0.0005,256,0.99,100,100,0.995
run_1,130,-115.85869844943552,250,0.0005,256,0.99,100,100,0.995
run_1,135,-93.95529324528219,250,0.0005,256,0.99,100,100,0.995
run_1,140,-98.78001818153942,250,0.0005,256,0.99,100,100,0.995
run_1,145,-102.99999503078789,250,0.0005,256,0.99,100,100,0.995
run_1,150,-62.632708060380295,250,0.0005,256,0.99,100,100,0.995
run_1,155,-60.24840316597614,250,0.0005,256,0.99,100,100,0.995
run_1,160,-26.742455932503738,250,0.0005,256,0.99,100,100,0.995
run_1,165,-12.467795059598618,250,0.0005,256,0.99,100,100,0.995
run_1,170,-26.340000171684476,250,0.0005,256,0.99,100,100,0.995
run_1,175,-14.862427526690263,250,0.0005,256,0.99,100,100,0.995
run_1,180,-33.05211276312819,250,0.0005,256,0.99,100,100,0.995
run_1,185,-17.64439991853343,250,0.0005,256,0.99,100,100,0.995
run_1,190,-5.8250028328471295,250,0.0005,256,0.99,100,100,0.995
run_1,195,-2.614202856864615,250,0.0005,256,0.99,100,100,0.995
run_1,200,30.699010122034416,250,0.0005,256,0.99,100,100,0.995
run_1,205,-0.27640784171872906,250,0.0005,256,0.99,100,100,0.995
run_1,210,-9.468823173364902,250,0.0005,256,0.99,100,100,0.995
run_1,215,1.1860076555430508,250,0.0005,256,0.99,100,100,0.995
run_1,220,-156.37129796735024,250,0.0005,256,0.99,100,100,0.995
run_1,225,-43.46364626753657,250,0.0005,256,0.99,100,100,0.995
run_1,230,-7.255716232902886,250,0.0005,256,0.99,100,100,0.995
run_1,235,-10.023955038679919,250,0.0005,256,0.99,100,100,0.995
run_1,240,-25.042351831819925,250,0.0005,256,0.99,100,100,0.995
run_1,245,39.84921197766528,250,0.0005,256,0.99,100,100,0.995
run_1,250,96.26771980751707,250,0.0005,256,0.99,100,100,0.995
run_1,255,242.11284920112638,250,0.0005,256,0.99,100,100,0.995
run_1,260,-37.920344819079794,250,0.0005,256,0.99,100,100,0.995
run_1,265,-28.50576412809981,250,0.0005,256,0.99,100,100,0.995
run_1,270,134.6414666117031,250,0.0005,256,0.99,100,100,0.995
run_1,275,81.99785501896707,250,0.0005,256,0.99,100,100,0.995
run_1,280,170.8381698994839,250,0.0005,256,0.99,100,100,0.995
run_1,285,161.84851167529618,250,0.0005,256,0.99,100,100,0.995
run_1,290,-0.3370979921396001,250,0.0005,256,0.99,100,100,0.995
run_1,295,223.12289789460175,250,0.0005,256,0.99,100,100,0.995
run_1,300,267.1315407614874,250,0.0005,256,0.99,100,100,0.995
run_10,5,-722.0676670211835,250,0.0005,256,0.99,100,100,0.995
run_10,10,-1098.6002097669805,250,0.0005,256,0.99,100,100,0.995
run_10,15,-979.3256042730967,250,0.0005,256,0.99,100,100,0.995
run_10,20,-1010.2928605388419,250,0.0005,256,0.99,100,100,0.995
run_10,25,-916.6185910038641,250,0.0005,256,0.99,100,100,0.995
run_10,30,-372.73027309320383,250,0.0005,256,0.99,100,100,0.995
run_10,35,-139.729583870937,250,0.0005,256,0.99,100,100,0.995
run_10,40,-172.13137720116868,250,0.0005,256,0.99,100,100,0.995
run_10,45,-213.93447606054715,250,0.0005,256,0.99,100,100,0.995
run_10,50,-457.13272564706085,250,0.0005,256,0.99,100,100,0.995
run_10,55,-411.548144325907,250,0.0005,256,0.99,100,100,0.995
run_10,60,-326.9952605903639,250,0.0005,256,0.99,100,100,0.995
run_10,65,-266.78503706156073,250,0.0005,256,0.99,100,100,0.995
run_10,70,-304.78070007599325,250,0.0005,256,0.99,100,100,0.995
run_10,75,-329.93621703722846,250,0.0005,256,0.99,100,100,0.995
run_10,80,-329.5022934770096,250,0.0005,256,0.99,100,100,0.995
run_10,85,-243.14258824445156,250,0.0005,256,0.99,100,100,0.995
run_10,90,-43.780134690217295,250,0.0005,256,0.99,100,100,0.995
run_10,95,-42.7180074629881,250,0.0005,256,0.99,100,100,0.995
run_10,100,-51.8559233422889,250,0.0005,256,0.99,100,100,0.995
run_10,105,-63.4576272878832,250,0.0005,256,0.99,100,100,0.995
run_10,110,-87.31510447493062,250,0.0005,256,0.99,100,100,0.995
run_10,115,-135.71856151153585,250,0.0005,256,0.99,100,100,0.995
run_10,120,-117.70173828503073,250,0.0005,256,0.99,100,100,0.995
run_10,125,-107.61953584547855,250,0.0005,256,0.99,100,100,0.995
run_10,130,-47.866688969540796,250,0.0005,256,0.99,100,100,0.995
run_10,135,-68.7115934766214,250,0.0005,256,0.99,100,100,0.995
run_10,140,-74.93680745923797,250,0.0005,256,0.99,100,100,0.995
run_10,145,-52.35547543459953,250,0.0005,256,0.99,100,100,0.995
run_10,150,-5.439563106162601,250,0.0005,256,0.99,100,100,0.995
run_10,155,-16.81521845273488,250,0.0005,256,0.99,100,100,0.995
run_10,160,-16.542961563535314,250,0.0005,256,0.99,100,100,0.995
run_10,165,-31.870365669346295,250,0.0005,256,0.99,100,100,0.995
run_10,170,-14.588310397894483,250,0.0005,256,0.99,100,100,0.995
run_10,175,-12.474322215275022,250,0.0005,256,0.99,100,100,0.995
run_10,180,-27.053018374168374,250,0.0005,256,0.99,100,100,0.995
run_10,185,-38.719090717183654,250,0.0005,256,0.99,100,100,0.995
run_10,190,-148.39498733884986,250,0.0005,256,0.99,100,100,0.995
run_10,195,-83.78692004378796,250,0.0005,256,0.99,100,100,0.995
run_10,200,-201.14016970474043,250,0.0005,256,0.99,100,100,0.995
run_10,205,-149.9535602265966,250,0.0005,256,0.99,100,100,0.995
run_10,210,-56.07910581989745,250,0.0005,256,0.99,100,100,0.995
run_10,215,-188.90224907153973,250,0.0005,256,0.99,100,100,0.995
run_10,220,-88.45818415740366,250,0.0005,256,0.99,100,100,0.995
run_10,225,-90.24249301107734,250,0.0005,256,0.99,100,100,0.995
run_10,230,145.76130629763009,250,0.0005,256,0.99,100,100,0.995
run_10,235,117.78045079004394,250,0.0005,256,0.99,100,100,0.995
run_10,240,-21.048668193989332,250,0.0005,256,0.99,100,100,0.995
run_10,245,147.59523669090248,250,0.0005,256,0.99,100,100,0.995
run_10,250,173.23835908219536,250,0.0005,256,0.99,100,100,0.995
run_10,255,23.031869477649174,250,0.0005,256,0.99,100,100,0.995
run_10,260,107.81859289610311,250,0.0005,256,0.99,100,100,0.995
run_10,265,-31.4831422004958,250,0.0005,256,0.99,100,100,0.995
run_10,270,123.0792412089136,250,0.0005,256,0.99,100,100,0.995
run_10,275,154.58759241984507,250,0.0005,256,0.99,100,100,0.995
run_10,280,25.63675268379931,250,0.0005,256,0.99,100,100,0.995
run_10,285,27.005300274475974,250,0.0005,256,0.99,100,100,0.995
run_10,290,132.1404192969553,250,0.0005,256,0.99,100,100,0.995
run_10,295,109.93268909900125,250,0.0005,256,0.99,100,100,0.995
run_10,300,4.218127291233465,250,0.0005,256,0.99,100,100,0.995
run_10,305,134.69322942160798,250,0.0005,256,0.99,100,100,0.995
run_10,310,-20.414543231418225,250,0.0005,256,0.99,100,100,0.995
run_10,315,148.58652864206408,250,0.0005,256,0.99,100,100,0.995
run_10,320,-26.802512601459465,250,0.0005,256,0.99,100,100,0.995
run_10,325,125.6770634178026,250,0.0005,256,0.99,100,100,0.995
run_10,330,69.69497445263741,250,0.0005,256,0.99,100,100,0.995
run_10,335,1.3144389402992622,250,0.0005,256,0.99,100,100,0.995
run_10,340,155.76611081582905,250,0.0005,256,0.99,100,100,0.995
run_10,345,135.1876903538515,250,0.0005,256,0.99,100,100,0.995
run_10,350,232.82219239380157,250,0.0005,256,0.99,100,100,0.995
run_10,355,99.03912455575721,250,0.0005,256,0.99,100,100,0.995
run_10,360,203.87934209908838,250,0.0005,256,0.99,100,100,0.995
run_10,365,188.08526764897368,250,0.0005,256,0.99,100,100,0.995
run_10,370,142.75187792642413,250,0.0005,256,0.99,100,100,0.995
run_10,375,92.40717744451264,250,0.0005,256,0.99,100,100,0.995
run_10,380,209.61575694112418,250,0.0005,256,0.99,100,100,0.995
run_10,385,165.07204371246888,250,0.0005,256,0.99,100,100,0.995
run_10,390,221.21830877626226,250,0.0005,256,0.99,100,100,0.995
run_10,395,-17.267581699299306,250,0.0005,256,0.99,100,100,0.995
run_10,400,33.01491631595561,250,0.0005,256,0.99,100,100,0.995
run_10,405,166.46703380513065,250,0.0005,256,0.99,100,100,0.995
run_10,410,187.86492515834453,250,0.0005,256,0.99,100,100,0.995
run_10,415,237.45957974146467,250,0.0005,256,0.99,100,100,0.995
run_10,420,199.15800662756624,250,0.0005,256,0.99,100,100,0.995
run_10,425,202.01903219342336,250,0.0005,256,0.99,100,100,0.995
run_10,430,96.08240940387385,250,0.0005,256,0.99,100,100,0.995
run_10,435,238.14446891681513,250,0.0005,256,0.99,100,100,0.995
run_10,440,209.5143582094616,250,0.0005,256,0.99,100,100,0.995
run_10,445,58.88243034474074,250,0.0005,256,0.99,100,100,0.995
run_10,450,205.50799013397145,250,0.0005,256,0.99,100,100,0.995
run_10,455,199.48550474501135,250,0.0005,256,0.99,100,100,0.995
run_10,460,180.8546606897474,250,0.0005,256,0.99,100,100,0.995
run_10,465,240.78513937339034,250,0.0005,256,0.99,100,100,0.995
run_10,470,235.00513418008123,250,0.0005,256,0.99,100,100,0.995
run_10,475,240.9208421745349,250,0.0005,256,0.99,100,100,0.995
run_10,480,249.42419069371408,250,0.0005,256,0.99,100,100,0.995
run_10,485,162.94801910515446,250,0.0005,256,0.99,100,100,0.995
run_10,490,229.6935888591599,250,0.0005,256,0.99,100,100,0.995
run_10,495,242.51041902336897,250,0.0005,256,0.99,100,100,0.995
run_10,500,218.41005590091618,250,0.0005,256,0.99,100,100,0.995
run_11,5,-556.7737200354229,250,0.0005,256,0.99,100,100,0.995
run_11,10,-990.3435274899275,250,0.0005,256,0.99,100,100,0.995
run_11,15,-134.42285018622437,250,0.0005,256,0.99,100,100,0.995
run_11,20,-107.42905170013407,250,0.0005,256,0.99,100,100,0.995
run_11,25,-101.16215022586462,250,0.0005,256,0.99,100,100,0.995
run_11,30,-83.7319983090306,250,0.0005,256,0.99,100,100,0.995
run_11,35,-32.0411542758628,250,0.0005,256,0.99,100,100,0.995
run_11,40,-22.22363258243669,250,0.0005,256,0.99,100,100,0.995
run_11,45,-76.43361208552112,250,0.0005,256,0.99,100,100,0.995
run_11,50,-100.08013511999778,250,0.0005,256,0.99,100,100,0.995
run_11,55,-115.03131492827943,250,0.0005,256,0.99,100,100,0.995
run_11,60,-145.70716019347387,250,0.0005,256,0.99,100,100,0.995
run_11,65,-197.4827063007038,250,0.0005,256,0.99,100,100,0.995
run_11,70,-140.5342506213413,250,0.0005,256,0.99,100,100,0.995
run_11,75,-174.90611084585444,250,0.0005,256,0.99,100,100,0.995
run_11,80,-119.38257257866981,250,0.0005,256,0.99,100,100,0.995
run_11,85,-132.67656154932604,250,0.0005,256,0.99,100,100,0.995
run_11,90,-141.19724024609505,250,0.0005,256,0.99,100,100,0.995
run_11,95,-177.25764913975715,250,0.0005,256,0.99,100,100,0.995
run_11,100,-165.8575316981432,250,0.0005,256,0.99,100,100,0.995
run_11,105,-213.71208085978637,250,0.0005,256,0.99,100,100,0.995
run_11,110,-241.33981043910808,250,0.0005,256,0.99,100,100,0.995
run_11,115,-188.40448246497982,250,0.0005,256,0.99,100,100,0.995
run_11,120,-176.4309390896042,250,0.0005,256,0.99,100,100,0.995
