experiment_id,episode,avg_eval_score
run_14,135,-142.5542439022682
run_14,140,-116.80049509562093
run_14,145,-161.82749594622314
run_14,150,-95.27308416980489
run_14,155,-125.58109314793823
run_14,160,-91.12763871394093
run_14,165,-84.14107429123715
run_14,170,-40.25301735286426
run_14,175,-64.52383870463491
run_14,180,-27.821982546650297
run_14,185,-40.69054653323993
run_14,190,-35.79154603337632
run_14,195,-34.6438350423435
run_14,200,-8.948041624949703
run_14,205,-13.307517003727412
run_14,210,-7.029518604468907
run_14,215,-3.4062427710308065
run_14,220,-9.208701911330476
run_14,225,141.43394935802763
run_14,230,157.25692688069313
run_14,235,154.974262085497
run_14,240,227.04508240006507
run_14,245,200.00647353461778
run_14,250,126.40781235719935
run_14,255,249.9416419080123
run_14,260,131.32596687862855
run_14,265,186.04252754118806
run_14,270,218.42378752728615
run_14,275,132.00153466391745
run_14,280,157.92871403782456
run_14,285,230.5128799849129
run_14,290,219.03232566045872
run_14,295,163.25657246286772
run_14,300,234.30642114459866
run_14,305,194.05372272416065
run_14,310,250.8192650598941
run_15,5,-1077.7290521467633
run_15,10,-279.317519903398
run_15,15,-365.9398926098143
run_15,20,-355.08533208764356
run_15,25,-215.32738948274255
run_15,30,-162.93031091499125
run_15,35,-139.13092631731348
run_15,40,-44.158520106646144
run_15,45,-98.02859503229402
run_15,50,-135.50326750096406
run_15,55,-122.8228743955099
run_15,60,-173.68327544811908
run_15,65,-188.91314425774027
run_15,70,-211.86148664353647
run_15,75,-213.1167986869369
run_15,80,-139.4473089686989
run_15,85,-178.56820013945833
run_15,90,-98.39507093602998
run_15,95,-92.9980421081583
run_15,100,-110.43883038194058
run_15,105,-102.84749392681537
run_15,110,-128.44491485129925
run_15,115,-200.76263840192115
run_15,120,-181.15968187241404
run_15,125,-211.35176241882223
run_15,130,-106.38743952377115
run_15,135,-300.2735903901454
run_15,140,-196.3936585106881
run_15,145,-120.47422137224609
run_15,150,-87.29436929990251
run_15,155,-61.607133658596055
run_15,160,-44.19804962400785
run_15,165,-29.01422187174644
run_15,170,-59.33908813598013
run_15,175,-49.66967424754977
run_15,180,-47.91432566608072
run_15,185,-181.79855842791503
run_15,190,-30.62343591075062
run_15,195,-201.84170825812518
run_15,200,-63.926495672148256
run_15,205,-86.04549213506388
run_15,210,-53.65267863598859
run_15,215,-47.72052021648727
run_15,220,-41.808240562130145
run_15,225,25.50975490603268
run_15,230,50.258738082471986
run_15,235,69.7875005827026
run_15,240,169.45985185597993
run_15,245,158.44431464957458
run_15,250,169.3847632430321
run_15,255,182.4305521561335
run_15,260,227.68990113550544
run_15,265,211.86840405689924
run_15,270,-80.38930423037759
run_15,275,155.84015973863532
run_15,280,178.51661513561868
run_15,285,201.20390524322903
run_15,290,246.7213487287218
run_15,295,186.22922078672303
run_15,300,141.72498332230478
run_15,305,233.61273972609402
run_15,310,223.81744357304063
run_15,315,232.79533636376658
run_15,320,44.13084982786838
run_15,325,217.85331661013052
run_15,330,205.76196466401274
run_15,335,244.20146638433033
run_15,340,236.98337777301134
run_15,345,-66.66960459726029
run_15,350,212.37232031736903
run_15,355,-10.616738682616049
run_15,360,231.45640455237995
run_15,365,228.49961720068208
run_15,370,217.25009697672562
run_15,375,164.17735358858206
run_15,380,214.00117265736336
run_15,385,239.7386430870944
run_15,390,237.16762500311037
run_15,395,251.82804687046738
run_16,5,-682.2753943042512
run_16,10,-342.42887024746403
run_16,15,-149.83619452974986
run_16,20,-171.89479232607124
run_16,25,-155.73748280698254
run_16,30,-2.981087233928644
run_16,35,-152.81918252917973
run_16,40,-40.48113134851531
run_16,45,-159.9340701335363
run_16,50,-114.02650799348937
run_16,55,-134.28437871975083
run_16,60,-171.4507766113759
run_16,65,-152.27031382426625
run_16,70,-163.39538039742146
run_16,75,-147.35706599085194
run_16,80,-113.23951205074829
run_16,85,-104.80440564568012
run_16,90,-115.68422793592944
run_16,95,-170.16204585397927
run_16,100,-205.8857344917913
run_16,105,-92.71185369633154
run_16,110,-93.98952245999217
run_16,115,-101.95713858782952
run_16,120,-86.43676880147513
run_16,125,-77.26286017922958
run_16,130,-80.232472645932
run_16,135,-77.45390928414668
run_16,140,-45.51702060409209
run_16,145,-49.141896678915856
run_16,150,1.633553578328442
run_16,155,-1.6475701528272801
run_16,160,-13.06825218944569
run_16,165,12.328889096891986
run_16,170,-44.5725583602446
run_16,175,102.2322269031544
run_16,180,2.661704158577087
run_16,185,22.64934154434433
run_16,190,-15.116442590353383
run_16,195,-9.794586895979133
run_16,200,-2.087118369315834
run_16,205,72.64927782346768
run_16,210,57.186294031856264
run_16,215,-16.409144020580314
run_16,220,188.0516747623093
run_16,225,99.48400548301592
run_16,230,219.33602772426775
run_16,235,253.66850040187325
run_17,5,-567.541174759693
run_17,10,-443.97834474451736
run_17,15,-423.1992271582606
run_17,20,-291.3351022199957
run_17,25,-200.45697132952554
run_17,30,-188.08896643094977
run_17,35,-307.7079073886812
run_17,40,-292.97225114571467
run_17,45,-187.1134852010918
run_17,50,-254.22050598907032
run_17,55,-193.7279705234095
run_17,60,-169.45136182842435
run_17,65,-155.1268124516842
run_17,70,-190.06685308358345
run_17,75,-157.35481348507437
run_17,80,-84.08303232274667
run_17,85,-176.05940521147764
run_17,90,-131.40403750493417
run_17,95,-120.92588453095941
run_17,100,-162.64631275619487
run_17,105,-157.24310431095006
run_17,110,-149.38673213567432
run_17,115,-126.3246918441577
run_17,120,-66.45295817137298
run_17,125,-137.56330185172098
run_17,130,-127.02277710019659
run_17,135,-116.52229675984582
run_17,140,-172.69462925850084
run_17,145,-107.58213560157026
