experiment_id,episode,avg_eval_score,target_score,learning_rate,batch_size,gamma,first_hid,second_hid,epsilon_decay
run_1,5,-443.50405381835316,250,0.0005,256,0.99,200,100,0.995
run_1,10,-335.207207968749,250,0.0005,256,0.99,200,100,0.995
run_1,15,-431.0225824745736,250,0.0005,256,0.99,200,100,0.995
run_1,20,-472.74757647186897,250,0.0005,256,0.99,200,100,0.995
run_1,25,-300.42510837691407,250,0.0005,256,0.99,200,100,0.995
run_1,30,-322.3354088270061,250,0.0005,256,0.99,200,100,0.995
run_1,35,-339.60272592068924,250,0.0005,256,0.99,200,100,0.995
run_1,40,-325.74438460920334,250,0.0005,256,0.99,200,100,0.995
run_1,45,-269.43247139954394,250,0.0005,256,0.99,200,100,0.995
run_1,50,-288.9309602839183,250,0.0005,256,0.99,200,100,0.995
run_1,55,-275.7937697911135,250,0.0005,256,0.99,200,100,0.995
run_1,60,-257.08656710568573,250,0.0005,256,0.99,200,100,0.995
run_1,65,-299.8162219998502,250,0.0005,256,0.99,200,100,0.995
run_1,70,-151.47100059281246,250,0.0005,256,0.99,200,100,0.995
run_1,75,-102.5688573710119,250,0.0005,256,0.99,200,100,0.995
run_1,80,-99.71542276142107,250,0.0005,256,0.99,200,100,0.995
run_1,85,-95.01407673754792,250,0.0005,256,0.99,200,100,0.995
run_1,90,-193.2054986944776,250,0.0005,256,0.99,200,100,0.995
run_1,95,-128.5091303485596,250,0.0005,256,0.99,200,100,0.995
run_1,100,-50.584488572255346,250,0.0005,256,0.99,200,100,0.995
run_1,105,-58.397244758857234,250,0.0005,256,0.99,200,100,0.995
run_1,110,-105.3282407384994,250,0.0005,256,0.99,200,100,0.995
run_1,115,-154.40347820508143,250,0.0005,256,0.99,200,100,0.995
run_1,120,-143.89604565223704,250,0.0005,256,0.99,200,100,0.995
run_1,125,-106.62224467976887,250,0.0005,256,0.99,200,100,0.995
run_1,130,-149.7857480233868,250,0.0005,256,0.99,200,100,0.995
run_1,135,-92.23043554007138,250,0.0005,256,0.99,200,100,0.995
run_1,140,-128.76086509295243,250,0.0005,256,0.99,200,100,0.995
run_1,145,-114.13443115606326,250,0.0005,256,0.99,200,100,0.995
