experiment_id,episode,avg_eval_score,target_score,learning_rate,batch_size,gamma,first_hid,second_hid,epsilon_decay
run_1,5,-563.9241097172064,250,0.0005,512,0.99,200,100,0.995
run_1,10,-659.1989172942234,250,0.0005,512,0.99,200,100,0.995
run_1,15,-575.4457984478224,250,0.0005,512,0.99,200,100,0.995
run_1,20,-263.779020074023,250,0.0005,512,0.99,200,100,0.995
run_1,25,-264.1574601479948,250,0.0005,512,0.99,200,100,0.995
run_1,30,-246.1530554320597,250,0.0005,512,0.99,200,100,0.995
run_1,35,-189.66694593590415,250,0.0005,512,0.99,200,100,0.995
run_1,40,-209.90312017675555,250,0.0005,512,0.99,200,100,0.995
run_1,45,-195.14094126451295,250,0.0005,512,0.99,200,100,0.995
run_1,50,-140.0846560663129,250,0.0005,512,0.99,200,100,0.995
run_1,55,-150.69833758257835,250,0.0005,512,0.99,200,100,0.995
run_1,60,-114.00540483019817,250,0.0005,512,0.99,200,100,0.995
run_1,65,-121.94524286061025,250,0.0005,512,0.99,200,100,0.995
run_1,70,-111.72275850116289,250,0.0005,512,0.99,200,100,0.995
run_1,75,-108.40907788768118,250,0.0005,512,0.99,200,100,0.995
run_1,80,-142.87377928808235,250,0.0005,512,0.99,200,100,0.995
run_1,85,-135.55552644866825,250,0.0005,512,0.99,200,100,0.995
run_1,90,-122.33667477741494,250,0.0005,512,0.99,200,100,0.995
run_1,95,-126.6374434178463,250,0.0005,512,0.99,200,100,0.995
run_1,100,-161.3205423419949,250,0.0005,512,0.99,200,100,0.995
run_1,105,-115.82898617494934,250,0.0005,512,0.99,200,100,0.995
run_1,110,-103.85011880607445,250,0.0005,512,0.99,200,100,0.995
run_1,115,-137.01629587740933,250,0.0005,512,0.99,200,100,0.995
run_1,120,-137.9211264855494,250,0.0005,512,0.99,200,100,0.995
run_1,125,-130.90582156504593,250,0.0005,512,0.99,200,100,0.995
run_1,130,-138.63765470306026,250,0.0005,512,0.99,200,100,0.995
run_1,135,-157.57092050850002,250,0.0005,512,0.99,200,100,0.995
run_1,140,-165.7943469651952,250,0.0005,512,0.99,200,100,0.995
run_1,145,-153.49953524828862,250,0.0005,512,0.99,200,100,0.995
run_1,150,-151.91845847693978,250,0.0005,512,0.99,200,100,0.995
run_1,155,-143.38074870374166,250,0.0005,512,0.99,200,100,0.995
run_1,160,-142.069720556971,250,0.0005,512,0.99,200,100,0.995
run_1,165,-101.77628907569246,250,0.0005,512,0.99,200,100,0.995
run_1,170,-107.19489021535483,250,0.0005,512,0.99,200,100,0.995
run_1,175,-104.56403496192334,250,0.0005,512,0.99,200,100,0.995
run_1,180,-70.60277042915683,250,0.0005,512,0.99,200,100,0.995
run_1,185,-76.51276404627467,250,0.0005,512,0.99,200,100,0.995
run_1,190,-53.55899018379027,250,0.0005,512,0.99,200,100,0.995
run_1,195,-56.70657803221618,250,0.0005,512,0.99,200,100,0.995
run_1,200,-54.36154043346689,250,0.0005,512,0.99,200,100,0.995
run_1,205,-50.370438327139276,250,0.0005,512,0.99,200,100,0.995
run_1,210,-40.12192159659435,250,0.0005,512,0.99,200,100,0.995
run_1,215,-92.65842778389506,250,0.0005,512,0.99,200,100,0.995
run_1,220,-80.9208663518564,250,0.0005,512,0.99,200,100,0.995
run_1,225,-64.05534957629986,250,0.0005,512,0.99,200,100,0.995
