experiment_id,episode,avg_eval_score,target_score,learning_rate,batch_size,gamma,first_hid,second_hid,epsilon_decay
run_1,5,-646.745528987946,250,0.0005,128,0.99,200,100,0.995
run_1,10,-231.44330817491982,250,0.0005,128,0.99,200,100,0.995
run_1,15,-152.29717034020516,250,0.0005,128,0.99,200,100,0.995
run_1,20,-73.83237568633277,250,0.0005,128,0.99,200,100,0.995
run_1,25,-128.44459191781917,250,0.0005,128,0.99,200,100,0.995
run_1,30,-117.35041809575974,250,0.0005,128,0.99,200,100,0.995
run_1,35,-85.64053550485234,250,0.0005,128,0.99,200,100,0.995
run_1,40,-106.48262480406461,250,0.0005,128,0.99,200,100,0.995
run_1,45,-102.69765849678492,250,0.0005,128,0.99,200,100,0.995
run_1,50,-83.37715255983393,250,0.0005,128,0.99,200,100,0.995
run_1,55,-156.80954361180343,250,0.0005,128,0.99,200,100,0.995
run_1,60,-205.62279804579367,250,0.0005,128,0.99,200,100,0.995
run_1,65,-194.70379436020553,250,0.0005,128,0.99,200,100,0.995
run_1,70,-172.09531560292618,250,0.0005,128,0.99,200,100,0.995
run_1,75,-153.49234966603603,250,0.0005,128,0.99,200,100,0.995
run_1,80,-205.7969394381279,250,0.0005,128,0.99,200,100,0.995
run_1,85,-192.0832749322513,250,0.0005,128,0.99,200,100,0.995
run_1,90,-187.22122331565075,250,0.0005,128,0.99,200,100,0.995
run_1,95,-221.08237562423264,250,0.0005,128,0.99,200,100,0.995
run_1,100,-208.31021858682658,250,0.0005,128,0.99,200,100,0.995
run_1,105,-161.55254216428696,250,0.0005,128,0.99,200,100,0.995
run_1,110,-141.88233527388098,250,0.0005,128,0.99,200,100,0.995
run_1,115,-144.77012626927012,250,0.0005,128,0.99,200,100,0.995
run_1,120,-148.6376210514763,250,0.0005,128,0.99,200,100,0.995
run_1,125,-129.81370306275124,250,0.0005,128,0.99,200,100,0.995
run_1,130,-167.65562739429947,250,0.0005,128,0.99,200,100,0.995
run_1,135,-122.68117116140431,250,0.0005,128,0.99,200,100,0.995
run_1,140,-170.91102106132766,250,0.0005,128,0.99,200,100,0.995
run_1,145,-167.68750604738554,250,0.0005,128,0.99,200,100,0.995
run_1,150,-173.25530254463644,250,0.0005,128,0.99,200,100,0.995
run_1,155,-170.16932476602383,250,0.0005,128,0.99,200,100,0.995
run_1,160,-126.13882419240285,250,0.0005,128,0.99,200,100,0.995
run_1,165,-133.48256390988084,250,0.0005,128,0.99,200,100,0.995
run_1,170,-83.41919023418697,250,0.0005,128,0.99,200,100,0.995
run_1,175,-80.99410416096804,250,0.0005,128,0.99,200,100,0.995
run_1,180,-52.471424463721064,250,0.0005,128,0.99,200,100,0.995
run_1,185,-61.31459588493558,250,0.0005,128,0.99,200,100,0.995
run_1,190,-38.40478064271366,250,0.0005,128,0.99,200,100,0.995
run_1,195,-39.025163202006766,250,0.0005,128,0.99,200,100,0.995
run_1,200,-30.11843545863764,250,0.0005,128,0.99,200,100,0.995
run_1,205,-31.37073911013323,250,0.0005,128,0.99,200,100,0.995
run_1,210,-127.95448229894319,250,0.0005,128,0.99,200,100,0.995
run_1,215,-91.42083417404243,250,0.0005,128,0.99,200,100,0.995
run_1,220,-102.39458201448795,250,0.0005,128,0.99,200,100,0.995
run_1,225,-25.809382524904475,250,0.0005,128,0.99,200,100,0.995
run_1,230,-39.5835483582162,250,0.0005,128,0.99,200,100,0.995
run_1,235,-37.26775188852688,250,0.0005,128,0.99,200,100,0.995
run_1,240,-49.03494412792216,250,0.0005,128,0.99,200,100,0.995
run_1,245,-52.88937969151546,250,0.0005,128,0.99,200,100,0.995
run_1,250,-36.168066517607826,250,0.0005,128,0.99,200,100,0.995
run_1,255,-39.4091274158687,250,0.0005,128,0.99,200,100,0.995
run_1,260,-81.2444109668555,250,0.0005,128,0.99,200,100,0.995
run_1,265,-67.25152875596041,250,0.0005,128,0.99,200,100,0.995
run_1,270,-63.82772505896607,250,0.0005,128,0.99,200,100,0.995
run_1,275,-66.25450025613335,250,0.0005,128,0.99,200,100,0.995
run_1,280,-202.87104686360345,250,0.0005,128,0.99,200,100,0.995
run_1,285,174.6406791770806,250,0.0005,128,0.99,200,100,0.995
run_1,290,-95.6286886811581,250,0.0005,128,0.99,200,100,0.995
run_1,295,83.53199261008069,250,0.0005,128,0.99,200,100,0.995
run_1,300,175.63435619761051,250,0.0005,128,0.99,200,100,0.995
run_1,305,-220.44813784069225,250,0.0005,128,0.99,200,100,0.995
run_1,310,158.87114450799046,250,0.0005,128,0.99,200,100,0.995
run_1,315,-10.994824975634959,250,0.0005,128,0.99,200,100,0.995
run_1,320,138.5424554956038,250,0.0005,128,0.99,200,100,0.995
run_1,325,19.359251967014067,250,0.0005,128,0.99,200,100,0.995
run_1,330,159.30073469979544,250,0.0005,128,0.99,200,100,0.995
run_1,335,251.96672461178713,250,0.0005,128,0.99,200,100,0.995
run_10,5,-593.2085365917367,250,0.0005,128,0.99,200,100,0.995
run_10,10,-116.6333130707815,250,0.0005,128,0.99,200,100,0.995
run_10,15,-111.43912824797766,250,0.0005,128,0.99,200,100,0.995
